,BPM,Activity Index,Bends per 3.03 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
1,0.0,0.0,0.0,0.03326053181702997,0.03326053181702997,,0.14400000000000002,50.0,False,['all'],0.84,0.897601462640279
4,282.85714285714283,0.1848,14.285714285714285,0.010234226695769675,0.010234226695769675,0.058451191829669236,0.0784,50.0,True,['all'],0.4,0.9317052284206675
58,33.0,0.016720000000000002,1.6666666666666667,0.058879329600218466,0.07598965284776875,0.0,0.0608,58.0,True,['all'],0.08196721311475408,0.9712829465635548
