Videos selected
Sample 1 , 5 worms , Sample01   (5 worms)
,


Statistics , number of data points, mean , standard error of the mean , 95% confidence interval around the mean , standard deviation , minimum value , first quartile , median , third quartile , maximum value

,
Wave Init Rate
Sample 1 , 3.000000 , 33.860253 , 6.761205 , 13.251961 , 14.342681 , 22.430677 , 22.430677 , 29.174048 , 49.954641 , 49.954641
,
Body Wave Number
Sample 1 , 3.000000 , 1.011480 , 0.143472 , 0.281204 , 0.304349 , 0.662545 , 0.662545 , 1.149416 , 1.222167 , 1.222167
,
Asymmetry
Sample 1 , 3.000000 , -0.008503 , 0.003745 , 0.007341 , 0.007945 , -0.017677 , -0.017677 , -0.003971 , -0.003833 , -0.003833
,
Stretch
Sample 1 , 3.000000 , 0.496553 , 0.040514 , 0.079407 , 0.085942 , 0.404122 , 0.404122 , 0.511176 , 0.574049 , 0.574049
,
Attenuation
Sample 1 , 3.000000 , 51.206217 , 9.972102 , 19.545320 , 21.154023 , 27.275888 , 27.275888 , 58.984753 , 67.413692 , 67.413692
,
Reverse Swim
Sample 1 , 3.000000 , 0.043545 , 0.017862 , 0.035009 , 0.037890 , 0.000000 , 0.000000 , 0.061752 , 0.068997 , 0.068997
,
Curling
Sample 1 , 3.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
,
Travel Speed
Sample 1 , 3.000000 , 3.328961 , 0.970545 , 1.902269 , 2.058837 , 2.000591 , 2.000591 , 2.278091 , 5.700596 , 5.700596
,
Brush Stroke
Sample 1 , 3.000000 , 0.076036 , 0.013988 , 0.027417 , 0.029674 , 0.051900 , 0.051900 , 0.067075 , 0.109166 , 0.109166
,
Activity Index
Sample 1 , 3.000000 , 81.460809 , 20.949712 , 41.061435 , 44.441050 , 54.999298 , 54.999298 , 56.554681 , 132.768437 , 132.768437



p values , 
,



Data points


Wave Init Rate
Sample 1, 22.430677, 49.954641, 29.195440
Body Wave Number
Sample 1, 1.149727, 0.662545, 1.222167
Asymmetry
Sample 1, -0.004000, -0.017677, -0.003833
Stretch
Sample 1, 0.511489, 0.404122, 0.574049
Attenuation
Sample 1, 67.413692, 27.275888, 58.929070
Reverse Swim
Sample 1, 0.061638, 0.068997, 0.000000
Curling
Sample 1, 0.000000, 0.000000, 0.000000
Travel Speed
Sample 1, 2.000591, 5.700596, 2.285696
Brush Stroke
Sample 1, 0.051900, 0.109166, 0.067041
Activity Index
Sample 1, 54.999298, 132.768437, 56.614691
