,BPM,Activity Index,Bends per 15.00 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,0.0,0.0,0.0,0.0,0.0,,0.0608,75.0,False,['all'],0.0,0.9305023059480323
3,0.0,0.0,0.0,0.018060729932317266,0.04909631576693778,,0.10880000000000001,69.0,False,['all'],0.9333333333333333,0.9110423398875791
4,0.0,0.0,0.0,0.002481024653519466,0.005076606832340354,,0.054400000000000004,75.0,False,['all'],1.0,0.762381429790187
5,0.0,0.0,0.0,0.011735336914827654,0.04376602317413075,,0.0944,75.0,False,['all'],0.0,0.9696817030238467
26,0.0,0.0,0.0,0.019597128953417406,0.024083251066859022,,0.18960000000000002,70.0,False,['all'],0.09999999999999998,0.934414587408587
27,17.391304347826086,0.008579710144927536,4.3478260869565215,0.008219133589455259,0.0704802992622866,0.0,0.0592,67.0,True,['all'],0.0,0.9783770419321811
28,48.0,0.06656000000000001,12.0,0.07694274124265732,0.08198108794938103,0.053910918462867434,0.16640000000000002,51.0,True,['all'],0.17647058823529416,0.9249621300268956
34,0.0,0.0,0.0,0.005009727009098464,0.007998602699368048,,0.1728,66.0,False,['all'],0.0,0.9733459992362739
