,BPM,Activity Index,Bends per 9.09 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
416,0.0,0.0,0.0,0.0,0.01603842350575571,,0.054400000000000004,74.0,False,['all'],0.0,0.9728432257802319
421,0.0,0.0,0.0,0.0036176974961672713,0.074626281178378,,0.0752,77.0,False,['all'],0.0,0.9614672448148016
422,53.513513513513516,0.04067027027027027,8.108108108108109,0.012041193022622377,0.013041290096876301,0.0,0.0912,70.0,True,['all'],0.5466666666666666,0.9333764594869116
424,0.0,0.0,0.0,0.0,0.0,,0.0512,62.0,False,['all'],0.0,0.9519274772212586
426,0.0,0.0,0.0,0.02730742059558711,0.030211644906603607,,0.07200000000000001,54.0,False,['all'],0.0,0.9589023307345366
431,32.459016393442624,0.01774426229508197,4.918032786885247,0.10171331573587004,0.11991809777215676,0.0,0.0656,62.0,True,['all'],0.0,0.9702776941944172
438,0.0,0.0,0.0,0.0,0.0,,0.041600000000000005,58.0,False,['all'],0.0,0.9895847668155761
441,30.461538461538463,0.032898461538461536,4.615384615384616,0.1984582523455196,0.21808102085237321,0.0,0.1296,66.0,True,['all'],0.18181818181818177,0.9614384854355007
443,40.408163265306115,0.03933061224489796,6.122448979591837,0.16267114282122522,0.16267114282122522,0.0,0.1168,50.0,True,['all'],0.0,0.9669398848660244
444,0.0,0.0,0.0,0.0649891512369378,0.06697128091058499,,0.1216,63.0,False,['all'],0.0,0.9505784380109074
447,0.0,0.0,0.0,0.043693979942329736,0.055903279414457996,,0.1024,54.0,False,['all'],0.0,0.9494695593811815
465,0.0,0.0,0.0,0.031706016591952726,0.03811060842186153,,0.057600000000000005,64.0,False,['all'],0.0,0.9735901191802206
469,0.0,0.0,0.0,0.0,0.01242096822936886,,0.0704,62.0,False,['all'],1.0,0.9257049890678457
479,0.0,0.0,0.0,0.01482299328668189,0.0235958408727061,,0.1728,67.0,False,['all'],0.08108108108108103,0.9687959708245588
480,33.559322033898304,0.025057627118644066,5.084745762711865,0.24655641712761547,0.2664057757874433,0.0,0.0896,60.0,True,['all'],0.4666666666666667,0.9351480382163337
492,0.0,0.0,0.0,0.08111000506764565,0.08715815577011732,,0.1648,52.0,False,['all'],0.9230769230769231,0.9006962085944428
505,60.00000000000001,0.039200000000000006,9.090909090909092,0.01188337926754503,0.018364647472106328,0.0,0.0784,67.0,True,['all'],0.13432835820895528,0.9365556200881731
512,30.461538461538463,0.030055384615384616,4.615384615384616,0.06807467731754308,0.07751155113161864,0.0,0.1184,66.0,True,['all'],0.0757575757575758,0.9607790860789596
513,0.0,0.0,0.0,0.003536881148104847,0.13099760608976319,,0.136,66.0,False,['all'],0.0,0.9743539525742383
516,30.461538461538463,0.016246153846153848,4.615384615384616,0.06488493794856715,0.0784203339482258,0.0,0.064,66.0,True,['all'],0.0,0.9751730557123242
534,0.0,0.0,0.0,0.003879337321310665,0.00885589766253047,,0.062400000000000004,61.0,False,['all'],0.0,0.9639312416737893
538,0.0,0.0,0.0,0.024247680568504185,0.09136415237818675,,0.0912,60.0,False,['all'],0.0,0.9677059906148008
542,0.0,0.0,0.0,0.0283227617855388,0.15235776983317026,,0.09680000000000001,58.0,False,['all'],0.0,0.985433525009489
544,0.0,0.0,0.0,0.0,0.0005764401225669807,,0.041600000000000005,56.0,False,['all'],0.0,0.9829553771763188
546,102.85714285714286,0.05897142857142857,15.584415584415588,0.27041367384108134,0.35289539624942823,0.0,0.0688,78.0,True,['all'],0.17948717948717952,0.9575806049610708
557,0.0,0.0,0.0,0.024145560850007106,0.031051756448051256,,0.0528,55.0,False,['all'],0.0,0.9614506370180471
567,0.0,0.0,0.0,0.13232468262105834,0.13690365425747794,,0.1472,53.0,True,['all'],0.0,0.9767564859710821
569,0.0,0.0,0.0,0.004150455269066216,0.02365946100465392,,0.07200000000000001,52.0,False,['all'],0.0,0.9682331825092922
580,0.0,0.0,0.0,0.12432652603023248,0.15155693711686266,,0.1632,51.0,True,['all'],0.0,0.9849310757387729
582,0.0,0.0,0.0,0.017418473016219838,0.029213506361531024,,0.0512,51.0,False,['all'],0.0,0.9724337390474557
583,0.0,0.0,0.0,0.1014733994632206,0.15919353284251042,,0.1168,51.0,True,['all'],0.0,0.9553745005543423
612,73.33333333333334,0.08506666666666668,11.111111111111112,0.02531211575148585,0.03542050018097869,0.0,0.13920000000000002,55.0,True,['all'],0.054545454545454564,0.9645301107638665
689,36.0,0.02976,5.454545454545455,0.26701036391392574,0.33382734731920566,0.0,0.09920000000000001,56.0,True,['all'],0.625,0.9358847604908883
848,0.0,0.0,0.0,0.00949440572798293,0.019889302500399608,,0.08,75.0,False,['all'],0.9605263157894737,0.8986673345531063
861,0.0,0.0,0.0,0.0065348968835723395,0.0065348968835723395,,0.0864,73.0,False,['all'],1.0,0.8608510861982757
871,0.0,0.0,0.0,0.040142958739056864,0.0878155108604472,,0.0608,149.0,False,['all'],0.9866666666666667,0.8779364859553539
875,0.0,0.0,0.0,0.0,0.006396638355301864,,0.0528,61.0,False,['all'],0.0,0.9468398639838235
884,0.0,0.0,0.0,0.0,0.0,,0.048,59.0,False,['all'],0.0,0.9582672330166621
886,30.000000000000004,0.041600000000000005,4.545454545454546,0.14766684530776483,0.15682960303554314,0.0,0.16640000000000002,66.0,True,['all'],0.02985074626865669,0.9646844428743936
891,0.0,0.0,0.0,0.009362061802323678,0.1335460574791438,,0.0816,79.0,False,['all'],0.0,0.9797449478327913
909,0.0,0.0,0.0,0.0,0.012789615992127234,,0.0528,72.0,False,['all'],0.0,0.9590899468548876
931,0.0,0.0,0.0,0.07055122769338422,0.08806710362047042,,0.064,51.0,False,['all'],0.7627118644067796,0.8980104841948658
936,0.0,0.0,0.0,0.0,0.002368298999980298,,0.046400000000000004,65.0,False,['all'],0.0,0.9689235859120842
958,0.0,0.0,0.0,0.015120160145154608,0.015554840600931317,,0.054400000000000004,59.0,False,['all'],0.0,0.9676674237347838
975,0.0,0.0,0.0,0.04622504109627565,0.1283834887573294,,0.1056,53.0,False,['all'],0.0,0.9779230177547696
976,0.0,0.0,0.0,0.0554542727935892,0.0554542727935892,,0.0848,53.0,False,['all'],0.0,0.9592458407359894
982,0.0,0.0,0.0,0.09507007257432833,0.10243995935231649,,0.1472,52.0,False,['all'],0.0,0.95703055454517
1103,66.0,0.07744,10.0,0.18471925962814797,0.23152533051517002,0.0,0.1408,61.0,True,['all'],0.14754098360655743,0.9542914681923163
1105,68.27586206896552,0.05871724137931035,10.344827586206897,0.10314274234591397,0.14096213943224717,0.0,0.1032,84.0,True,['all'],0.0,0.9744919083514496
1150,0.0,0.0,0.0,0.011348979067922023,0.015121333512524544,,0.0704,66.0,False,['all'],1.0,0.9065232804893015
1151,34.73684210526316,0.014357894736842106,5.2631578947368425,0.0910453885412036,0.0910453885412036,0.0,0.049600000000000005,58.0,True,['all'],0.0,0.9680453237101008
1152,0.0,0.0,0.0,0.004483827215612724,0.010877482906967956,,0.0656,73.0,False,['all'],0.0,0.9650779309916389
1153,0.0,0.0,0.0,0.008975071494488071,0.01136303156461184,,0.1376,72.0,False,['all'],0.0,0.9419325464248435
1154,0.0,0.0,0.0,0.008068896438363955,0.008068896438363955,,0.048,67.0,False,['all'],1.0,0.7994774292759304
1155,0.0,0.0,0.0,0.003786654412613259,0.0070432116599789705,,0.0752,70.0,False,['all'],0.9714285714285714,0.9240763987426985
1156,0.0,0.0,0.0,0.0051866848740513075,0.018788923989871233,,0.062400000000000004,67.0,False,['all'],0.04477611940298509,0.9452381149908244
1158,0.0,0.0,0.0,0.0009593291404640704,0.0013850228087749477,,0.0424,62.0,False,['all'],0.0,0.9534058958371819
1161,0.0,0.0,0.0,0.001985140338874008,0.016328992199867984,,0.12480000000000001,72.0,False,['all'],0.02777777777777779,0.9327996077291478
1164,0.0,0.0,0.0,0.005916463573566909,0.018026776382417238,,0.0752,71.0,False,['all'],1.0,0.81416198745015
1165,0.0,0.0,0.0,0.02325709954808107,0.24724415144117004,,0.168,66.0,False,['all'],0.0,0.9909192914698882
1166,53.513513513513516,0.04566486486486487,8.108108108108109,0.005269842029640421,0.09664823836803625,0.0,0.1024,71.0,True,['all'],0.0,0.9806506636657168
1168,0.0,0.0,0.0,0.005122740066960472,0.028736098862348895,,0.0944,74.0,False,['all'],1.0,0.8961207717289758
1172,0.0,0.0,0.0,0.010609789057577989,0.018112747909083557,,0.096,70.0,False,['all'],0.0,0.9566723520844995
1181,0.0,0.0,0.0,0.00495181950917377,0.011398463508469415,,0.0792,68.0,False,['all'],1.0,0.8411563587685986
1186,0.0,0.0,0.0,0.0038826298585191215,0.011165051708008852,,0.08320000000000001,69.0,False,['all'],0.9710144927536232,0.9166954522455489
1188,0.0,0.0,0.0,0.004964323175999256,0.008302309152841218,,0.11040000000000001,59.0,False,['all'],0.0,0.9748135517358043
1189,0.0,0.0,0.0,0.025891156462588032,0.028900042909768026,,0.07200000000000001,63.0,False,['all'],1.0,0.8650402536546805
1197,0.0,0.0,0.0,0.0033823492640335713,0.0070650093385371485,,0.0448,70.0,False,['all'],1.0,0.895097248801808
1199,0.0,0.0,0.0,0.0018968861496404489,0.040246843778696986,,0.192,65.0,False,['all'],0.0,0.9848025478827627
1201,0.0,0.0,0.0,0.0028441334472267014,0.0028441334472267014,,0.1408,70.0,False,['all'],0.0,0.9433463989346879
1202,0.0,0.0,0.0,0.0,0.020237704611105446,,0.1136,70.0,False,['all'],1.0,0.9074196767696758
1204,0.0,0.0,0.0,0.04169884300846991,0.04169884300846991,,0.0704,54.0,False,['all'],0.0,0.992400266421194
1208,0.0,0.0,0.0,0.03590732251935217,0.05527171570957613,,0.16,59.0,False,['all'],0.0,0.9743105859705659
1209,0.0,0.0,0.0,0.01133341808777918,0.012371393248079322,,0.11040000000000001,58.0,False,['all'],1.0,0.8535889843591049
1214,0.0,0.0,0.0,0.0,0.010890969161270836,,0.1504,59.0,False,['all'],0.03389830508474578,0.9456939103209575
1217,0.0,0.0,0.0,0.00860405435815167,0.00932501352428455,,0.057600000000000005,70.0,False,['all'],0.0,0.9630362711577728
1218,0.0,0.0,0.0,0.006980665867955078,0.00878638801092385,,0.0704,66.0,False,['all'],0.015151515151515138,0.9341619703735702
1221,0.0,0.0,0.0,0.08532286792961928,0.10877014406307768,,0.0712,62.0,False,['all'],0.3548387096774194,0.9332575365665712
1226,32.459016393442624,0.03981639344262296,4.918032786885247,0.034839633602315304,0.1611450264670762,0.0,0.1472,62.0,True,['all'],0.016129032258064502,0.9726154752128309
