,BPM,Activity Index,Bends per 2.82 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,43.04347826086956,0.04648695652173913,2.0217391304347827,0.03341839902279145,0.04532469152987691,0.11539935475300389,0.1296,93.0,True,['all'],0.0,0.9818323623441497
1,0.0,0.0,0.0,0.0,0.06348116540479248,,0.11040000000000001,91.0,False,['all'],0.989247311827957,0.8444550493997538
3,0.0,0.0,0.0,0.009929294661390892,0.039548156204093216,,0.049600000000000005,91.0,False,['all'],1.0,0.7167227815969609
4,0.0,0.0,0.0,0.04991434875547454,0.2529785367854785,,0.1792,81.0,False,['all'],0.0,0.9903406297949265
5,52.800000000000004,0.07251200000000001,2.4800000000000004,0.16556976740838458,0.3829686751640159,0.2838983972022729,0.1648,74.0,True,['all'],0.013157894736842146,0.9913925242007785
6,0.0,0.0,0.0,0.022554256226916154,0.022554256226916154,,0.041600000000000005,58.0,False,['all'],0.0,0.9897354835241619
8,0.0,0.0,0.0,0.008201807394174199,0.027764561649691894,,0.1568,92.0,False,['all'],0.04347826086956519,0.9496466059049589
10,23.02325581395349,0.02486511627906977,1.0813953488372094,0.0,0.043055559336831355,0.0,0.1296,87.0,True,['all'],0.02298850574712641,0.970713810890098
