,BPM,Activity Index,Bends per 3.03 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,0.0,0.0,0.0,0.05614813738585796,0.05614813738585796,,0.1328,50.0,False,['all'],0.0,0.9660787265979061
4,80.81632653061223,0.04848979591836734,4.081632653061225,0.05236420020347314,0.05236420020347314,0.07763734864478843,0.07200000000000001,50.0,True,['all'],0.14,0.9631895076989245
7,0.0,0.0,0.0,0.033279408214371885,0.033279408214371885,,0.096,50.0,False,['all'],0.62,0.9227335761320162
8,0.0,0.0,0.0,0.1040371754218599,0.11023046457975462,,0.1136,87.0,True,['all'],1.0,0.637636382443021
9,0.0,0.0,0.0,0.13206095350835823,0.14044498953462808,,0.10160000000000001,100.0,True,['all'],1.0,0.7349855876229208
11,0.0,0.0,0.0,0.022566645065883562,0.022566645065883562,,0.11280000000000001,50.0,False,['all'],1.0,0.9061771050221249
64,0.0,0.0,0.0,0.051370823609901035,0.051370823609901035,,0.0784,50.0,False,['all'],1.0,0.7783104056517931
65,0.0,0.0,0.0,0.04936759271904095,0.04936759271904095,,0.12480000000000001,50.0,False,['all'],1.0,0.8027724300179798
71,40.408163265306115,0.022897959183673468,2.0408163265306123,0.06748901834021574,0.06748901834021574,0.0,0.068,50.0,True,['all'],0.0,0.9593884258861215
72,0.0,0.0,0.0,0.03581722430500166,0.03581722430500166,,0.1744,50.0,False,['all'],1.0,0.9149928057159351
