,BPM,Activity Index,Bends per 3.03 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
7,0.0,0.0,0.0,0.04403847129631194,0.0637717689752197,,0.07200000000000001,99.0,False,['all'],1.0,0.7674419161988126
9,43.04347826086956,0.0396,2.173913043478261,0.03071350565032159,0.05012547135655597,0.047340461069992984,0.11040000000000001,93.0,True,['all'],0.33333333333333337,0.9248336557293247
14,104.21052631578948,0.06669473684210528,5.263157894736842,0.040656831232453935,0.04165524337400307,0.03070764432435054,0.07680000000000001,58.0,True,['all'],0.24137931034482762,0.9369040530645961
