,BPM,Activity Index,Bends per 3.03 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,0.0,0.0,0.0,0.07080723674186852,0.07080723674186852,,0.1376,50.0,False,['all'],0.0,0.9656603963242056
3,40.408163265306115,0.026399999999999993,2.0408163265306123,0.10365824450530771,0.10365824450530771,0.12479128574315004,0.0784,50.0,True,['all'],0.0,0.9786845493223602
8,0.0,0.0,0.0,0.10895239422322897,0.11307790016055161,,0.1136,72.0,True,['all'],1.0,0.6180109346281666
9,0.0,0.0,0.0,0.11318410650140012,0.12375584636406177,,0.10640000000000001,100.0,True,['all'],1.0,0.7641997581190517
11,0.0,0.0,0.0,0.031311172337267205,0.031311172337267205,,0.11040000000000001,50.0,False,['all'],0.98,0.9111358057578909
14,0.0,0.0,0.0,0.02663419002291894,0.02663419002291894,,0.1,50.0,False,['all'],0.98,0.9102760628339789
67,0.0,0.0,0.0,0.04641690317518829,0.04641690317518829,,0.128,50.0,False,['all'],1.0,0.7265774042731136
68,0.0,0.0,0.0,0.06347297764965493,0.06347297764965493,,0.0792,50.0,False,['all'],1.0,0.8199433064981733
83,40.408163265306115,0.02262857142857143,2.0408163265306123,0.05043384996764265,0.05043384996764265,0.0,0.06720000000000001,50.0,True,['all'],0.0,0.9632145148459793
86,0.0,0.0,0.0,0.034653352292544716,0.034653352292544716,,0.1696,50.0,False,['all'],1.0,0.9083403708730549
