,BPM,Activity Index,Bends per 3.03 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,34.13793103448276,0.02457931034482759,1.7241379310344827,0.02945589640910181,0.03425684492915351,0.016347772235520294,0.0864,51.0,True,['all'],0.9152542372881356,0.8904653881840712
1,0.0,0.0,0.0,0.12459579760353756,0.14220050960595673,,0.1384,76.0,True,['all'],0.9868421052631579,0.7797276731265508
4,0.0,0.0,0.0,0.0033557722670417736,0.0033557722670417736,,0.11760000000000001,50.0,False,['all'],0.92,0.8882890406722485
5,88.65671641791045,0.055558208955223884,4.477611940298507,0.2708179697037242,0.3221735716934641,0.12742012172271158,0.0752,68.0,True,['all'],0.6470588235294117,0.9074133920217351
6,0.0,0.0,0.0,0.07557322391969987,0.12331473408653905,,0.0872,98.0,False,['all'],0.98,0.8279455231811474
11,0.0,0.0,0.0,0.026864093513982085,0.026864093513982085,,0.0944,50.0,False,['all'],1.0,0.8168688520389596
29,24.444444444444443,0.010103703703703703,1.2345679012345678,0.11620476962527561,0.19200020220426772,0.24521419172288272,0.049600000000000005,76.0,True,['all'],0.41463414634146345,0.918942648184022
47,74.71698113207547,0.04184150943396227,3.7735849056603774,0.07539938521662662,0.07829316411916612,0.0,0.06720000000000001,52.0,True,['all'],0.01851851851851849,0.97058129586665
48,0.0,0.0,0.0,0.03537898080825344,0.03545280204130356,,0.128,52.0,False,['all'],1.0,0.8293245643836211
