,BPM,Activity Index,Bends per 3.03 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,0.0,0.0,0.0,0.14855503288590677,0.15160958167816777,,0.0736,100.0,True,['all'],1.0,0.863967368715885
1,0.0,0.0,0.0,0.09180799550320935,0.09724569917310921,,0.08080000000000001,100.0,False,['all'],1.0,0.7852175025103336
4,0.0,0.0,0.0,0.0709617935240531,0.0709617935240531,,0.0608,50.0,False,['all'],0.92,0.9047787077750048
6,0.0,0.0,0.0,0.09027763001877981,0.09027763001877981,,0.0784,50.0,False,['all'],0.94,0.8999019986429593
