,BPM,Activity Index,Bends per 2.82 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
0,43.04347826086956,0.044765217391304346,2.0217391304347827,0.033986393051843325,0.06097769536557391,0.03863264810111219,0.12480000000000001,93.0,True,['all'],0.0,0.9812539271652632
1,0.0,0.0,0.0,0.0,0.028342281172738244,,0.12000000000000001,90.0,False,['all'],0.967741935483871,0.9137868233262537
3,0.0,0.0,0.0,0.0,0.04003026285941944,,0.049600000000000005,93.0,False,['all'],0.989247311827957,0.7338377603959492
4,0.0,0.0,0.0,0.003797801242791234,0.04560192160803016,,0.064,62.0,False,['all'],0.0,0.9863691368478342
5,0.0,0.0,0.0,0.1300656099475927,0.41997148051862326,,0.16160000000000002,72.0,True,['all'],0.0,0.993963534406616
10,0.0,0.0,0.0,0.0,0.02225974373418644,,0.1552,92.0,False,['all'],0.04347826086956519,0.9435765431014651
14,0.0,0.0,0.0,0.0,0.15413136145680043,,0.1552,86.0,False,['all'],0.0,0.9865519241675501
22,27.887323943661972,0.024169014084507046,1.3098591549295777,0.003613437372567737,0.09282401841892271,0.0,0.10400000000000001,72.0,True,['all'],0.02777777777777779,0.9751295001343068
24,0.0,0.0,0.0,0.0028246025945406618,0.19386187725149753,,0.04,58.0,False,['all'],0.0,0.9380571635809417
